,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,RF,RH,LF,LH
11,39.518646,66.228134,195.9785,-16.710779,112.375977,-53.778976,-39.635254,-75.098518,123.336624,-19.153839,7.028449,-21.204559,-0.018490203904761974,1.6710151600000014,0.002531704689285749,4.2054850518095215
12,43.866592,-72.39856,168.007553,115.498764,48.776794,64.835312,-11.890576,-90.317558,106.671982,-30.225151,51.066536,-185.246368,1.5721491102857208,4.788114397571436,0.40907709088573496,3.8383427238142778
13,43.287979,-142.231567,329.086243,44.064632,80.53804,74.057594,-39.344173,51.99073,-197.724396,34.241455,107.58696,-232.575912,4.495124575714287,9.769974151083352,9.325304169009533,2.9333273634071433
14,43.114395,-142.468475,358.579895,13.21939,-62.456589,172.857285,-51.346252,45.72522,-309.756348,134.550446,133.958099,-146.975769,4.5158550019999995,11.851421838333334,11.984367789750005,1.4608911068833295
15,60.009319,-133.124542,-52.481033,-7.332182,15.157024,29.26119,-28.584877,-63.485435,-92.92691,76.142136,13.825432,-98.699738,1.9002905317142764,14.838316098892866,13.604801857667846,0.7759046910785654
16,38.715797,-314.855347,3.08569,-5.965654,102.463104,102.92836,-10.458464,-45.407631,-84.368073,58.619644,94.531624,-48.439922,-0.034105491428571534,15.054088255809521,9.979882917171425,0.005029113395238403
17,34.210739,-214.968597,-4.723293,-5.555696,145.601929,-42.558495,2.511461,-32.45229,-83.683418,75.958893,13.295487,96.565025,0.0027371553333330953,16.17110198039286,10.715382837048814,0.01835411989523858
18,19.678223,-198.183594,6.115012,-1.666709,38.031582,-108.800545,2.636438,22.275311,-4.392027,81.160667,-92.04435,-50.116489,0.02589710771428541,16.02301498578571,7.95287045017857,-0.03217938627857118
19,-58.11853,-266.585083,13.132504,-13.681012,-33.782524,-30.757164,2.673932,82.002594,-3.200608,92.1362,17.578691,-28.215946,0.006952823190476583,15.821977269404762,7.805889105269048,-0.0160405416940477
20,12.69244,-155.295532,64.195755,-15.402304,55.770241,-33.70615,2.685179,60.377777,19.752817,87.896866,22.220608,-181.70079,-0.016423274476190314,15.400199567571425,7.571046257380953,2.5735752380670607e-05
21,28.286732,-44.705662,34.322727,-10.269691,-179.100922,100.985153,38.465553,74.603333,-63.745152,90.391052,-36.642818,-197.61824,-0.027133617999999755,13.758283368499995,7.300144211424999,1.3601568219249998
22,32.965019,-60.486702,51.722816,15.749092,-132.816284,228.010559,-20.471333,84.520004,-77.496544,83.607315,-35.471848,149.727524,-0.03509704561904791,10.372791358476189,6.0687152264,1.8832988872119087
23,19.304506,-67.104012,104.017845,4.724728,-71.855881,90.999168,8.9226,119.506004,-138.111969,25.082195,-236.601562,-36.050743,0.00579940619047613,9.465561354559526,8.242639905677384,2.521494429594045
24,-16.804646,-37.078205,14.258354,-32.476582,-46.035767,74.374756,25.272779,-63.947201,65.897408,-133.700333,-165.130463,-76.720222,0.03482366399999931,7.958758231714279,11.85743442535717,2.3912957103285692
25,-16.339394,98.090546,-214.150497,-30.455975,16.317268,302.879425,-31.961164,37.30584,-253.265778,-62.7061,-151.221146,242.486923,6.006734469476225,5.6248716676071275,15.359563194751187,3.303972198073839
